Letter,Name of The Series,Thumbnail Image Link,Latest Episode,Release Date/Time
,,,,
Special Charecter,.Hack//G.U. Returner,https://gogocdn.net/images/anime/5745.jpg,.Hack//G.U. Returner Episode 1,31-12-2009 16:00
Special Charecter,.hack//G.U. Trilogy,https://gogocdn.net/images/Trilogy.jpg,.hack//G.U. Trilogy Episode 1,02-04-2014 19:42
Special Charecter,.hack//Gift,https://gogocdn.net/cover/hackgift.png,.hack//Gift Episode 1,01-02-2021 02:53
Special Charecter,.hack//Legend of the Twilight,https://gogocdn.net/images/anime/hacklegend-of-the-twilight2.jpg,.hack//Legend of the Twilight Episode 12,31-12-2009 16:00
Special Charecter,.hack//Liminality,https://gogocdn.net/images/anime/A/hackliminality.jpg,.hack//Liminality Episode 4,31-12-2009 16:00
Special Charecter,.hack//Liminality (Dub),https://gogocdn.net/cover/hackliminality-dub.png,.hack//Liminality (Dub) Episode 4,09-06-2021 22:43
Special Charecter,.hack//Quantum ,https://gogocdn.net/images/anime/A/hackquantum.jpg,.hack//Quantum  Episode 3,31-12-2009 16:00
Special Charecter,.hack//Roots,https://gogocdn.net/images/anime/A/hackroots.jpg,.hack//Roots Episode 26,31-12-2009 16:00
Special Charecter,.hack//Roots (Dub),https://gogocdn.net/cover/hackroots-dub.jpg,.hack//Roots (Dub) Episode 26,13-07-2016 02:40
Special Charecter,.Hack//Sign,https://gogocdn.net/images/anime/A/hacksign.jpg,.Hack//Sign Episode 28,31-12-2009 16:00
Special Charecter,.hack//Sign (Dub),https://gogocdn.net/cover/hacksign-dub.jpg,.hack//Sign (Dub) Episode 28,21-07-2016 02:29
Special Charecter,.hack//Tasogare no Udewa Densetsu (Dub),https://gogocdn.net/cover/hacktasogare-no-udewa-densetsu-dub.png,.hack//Tasogare no Udewa Densetsu (Dub) Episode 12,08-02-2021 11:48
Special Charecter,.hack//The Movie: Sekai no Mukou ni,https://gogocdn.net/images/hack The Movie Sekai no Mukou ni.jpg,.hack//The Movie: Sekai no Mukou ni Episode 1,02-04-2014 19:32
Special Charecter,"""Eiyuu"" Kaitai",https://gogocdn.net/cover/eiyuu-kaitai.png,"""Eiyuu"" Kaitai Episode 1",07-08-2018 10:36
Special Charecter,009 Re:Cyborg,https://gogocdn.net/images/anime/126644.jpg,009 Re:Cyborg Episode 1,31-12-2009 16:00
Special Charecter,009 Re:Cyborg (Dub),https://gogocdn.net/cover/009-recyborg-dub.jpg,009 Re:Cyborg (Dub) Episode 1,21-07-2016 03:03
Special Charecter,009-1,https://gogocdn.net/images/anime/A/009-1.jpg,009-1 Episode 13,31-12-2009 16:00
Special Charecter,009-1 (Dub),https://gogocdn.net/cover/009-1-dub.jpg,009-1 (Dub) Episode 12,03-08-2016 01:56
Special Charecter,07-GHOST,https://gogocdn.net/images/anime/A/07-ghost.jpg,07-GHOST Episode 25,31-12-2009 16:00
Special Charecter,100-man no Inochi no Ue ni Ore wa Tatteiru,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru.png,100-man no Inochi no Ue ni Ore wa Tatteiru Episode 12,18-12-2020 07:12
Special Charecter,100-man no Inochi no Ue ni Ore wa Tatteiru (Dub),https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-dub.png,100-man no Inochi no Ue ni Ore wa Tatteiru (Dub) Episode 12,29-01-2021 05:26
